,Close,DateStamp,High,LastSale,Low,Open,Symbol,Volume
0,102.71,2016-01-05T00:00:00Z,105.85,102.71,102.41,105.6,AAPL,55784727
1,100.7,2016-01-06T00:00:00Z,104.144,100.7,99.87,100.56,AAPL,68320227
2,96.45,2016-01-07T00:00:00Z,104.09,96.45,96.43,98.68,AAPL,80877180
3,96.96,2016-01-08T00:00:00Z,99.11,96.96,96.76,98.55,AAPL,70694053
4,98.53,2016-01-11T00:00:00Z,99.06,98.53,97.34,99.03,AAPL,49697717
5,99.96,2016-01-12T00:00:00Z,100.69,99.96,98.83,100.55,AAPL,48961824
6,97.39,2016-01-13T00:00:00Z,101.19,97.39,97.3,100.32,AAPL,62396702
7,99.52,2016-01-14T00:00:00Z,100.48,99.52,95.73,97.96,AAPL,63129182
8,97.13,2016-01-15T00:00:00Z,99.0857,97.13,95.36,96.2,AAPL,79773917
9,96.66,2016-01-19T00:00:00Z,98.65,96.66,95.46,98.41,AAPL,53037436
10,96.79,2016-01-20T00:00:00Z,98.1897,96.79,93.42,95.11,AAPL,72259142
11,96.3,2016-01-21T00:00:00Z,97.88,96.3,94.94,97.06,AAPL,52133796
12,101.429,2016-01-22T00:00:00Z,106.964,101.429,98.37,98.64,AAPL,65768202
13,99.44,2016-01-25T00:00:00Z,107.32,99.44,98.64,101.52,AAPL,51758956
14,99.99,2016-01-26T00:00:00Z,100.88,99.99,98.07,99.51,AAPL,75039177
15,93.42,2016-01-27T00:00:00Z,96.64,93.42,93.34,96.04,AAPL,133111783
16,94.09,2016-01-28T00:00:00Z,99.45,94.09,92.39,93.82,AAPL,55633583
17,97.34,2016-01-29T00:00:00Z,97.34,97.34,94.35,94.79,AAPL,64381149
18,96.43,2016-02-01T00:00:00Z,96.71,96.43,95.4,96.47,AAPL,40935719
19,94.48,2016-02-02T00:00:00Z,96.04,94.48,94.25,95.42,AAPL,37344346
20,96.35,2016-02-03T00:00:00Z,96.84,96.35,94.08,95.0,AAPL,45955406
21,96.6,2016-02-04T00:00:00Z,97.33,96.6,95.19,95.86,AAPL,46466127
22,94.02,2016-02-05T00:00:00Z,96.92,94.02,93.69,96.52,AAPL,46414330
23,95.01,2016-02-08T00:00:00Z,97.0699,95.01,93.02,93.13,AAPL,53986585
24,94.99,2016-02-09T00:00:00Z,95.94,94.99,93.93,94.28,AAPL,44323243
25,94.27,2016-02-10T00:00:00Z,96.35,94.27,94.0909,95.92,AAPL,42332158
26,93.7,2016-02-11T00:00:00Z,94.72,93.7,92.59,93.79,AAPL,50031755
27,93.99,2016-02-12T00:00:00Z,94.5,93.99,93.01,94.19,AAPL,40335074
28,96.64,2016-02-16T00:00:00Z,96.85,96.64,94.61,95.02,AAPL,49043154
29,98.12,2016-02-17T00:00:00Z,98.21,98.12,96.15,96.67,AAPL,44835264
30,96.26,2016-02-18T00:00:00Z,98.89,96.26,96.09,98.84,AAPL,38992782
31,96.04,2016-02-19T00:00:00Z,96.76,96.04,95.8,96.0,AAPL,35366291
32,96.88,2016-02-22T00:00:00Z,96.9032,96.88,95.92,96.28,AAPL,34271759
33,94.69,2016-02-23T00:00:00Z,96.5,94.69,94.55,96.4,AAPL,31940340
34,96.1,2016-02-24T00:00:00Z,96.38,96.1,93.32,93.99,AAPL,36239522
35,96.5,2016-02-25T00:00:00Z,96.76,96.5,95.25,96.05,AAPL,27573827
36,96.91,2016-02-26T00:00:00Z,98.03,96.91,96.444,97.2,AAPL,28980549
37,96.69,2016-02-29T00:00:00Z,98.23,96.69,96.65,96.86,AAPL,35204185
38,100.5691,2016-03-01T00:00:00Z,100.77,100.5691,97.42,97.65,AAPL,50401884
39,100.75,2016-03-02T00:00:00Z,100.9,100.75,99.64,100.51,AAPL,33158948
40,101.1912,2016-03-03T00:00:00Z,101.71,101.1912,100.45,100.58,AAPL,36955035
41,103.01,2016-03-04T00:00:00Z,103.75,103.01,101.37,102.37,AAPL,46044552
42,101.87,2016-03-07T00:00:00Z,102.83,101.87,100.96,102.39,AAPL,35881661
43,101.5812,2016-03-08T00:00:00Z,101.76,101.5812,100.4,100.88,AAPL,31546010
44,101.12,2016-03-09T00:00:00Z,101.58,101.12,100.27,101.34,AAPL,27188631
45,101.17,2016-03-10T00:00:00Z,102.24,101.17,100.15,101.41,AAPL,33511155
